Date,Open,High,Low,Close,Volume
2022-09-16,149.226,149.364,146.422,148.721,164437974
2022-09-19,147.35,152.53,147.142,152.452,82558267
2022-09-20,151.386,156.003,151.07,154.838,109122617
2022-09-21,155.274,156.654,151.584,151.702,103049874
2022-09-22,150.379,152.442,148.927,150.735,87805461
2022-09-23,149.206,149.481,146.61,148.455,97307594
2022-09-26,147.695,151.75,147.675,148.79,94581297
2022-09-27,150.735,152.689,147.977,149.767,85566258
2022-09-28,145.702,148.665,142.94,147.872,148643127
2022-09-29,144.182,144.794,138.832,140.61,129843126
2022-09-30,139.423,141.221,136.188,136.385,126587414
2022-10-03,136.395,141.191,135.876,140.58,115832589
2022-10-04,143.125,144.301,142.363,144.182,88998650
2022-10-05,142.185,145.445,141.132,144.477,80528335
2022-10-06,143.896,145.603,143.313,143.522,69312265
2022-10-07,140.67,141.221,137.615,138.252,87068805
2022-10-10,138.575,140.027,136.753,138.575,75895539
2022-10-11,138.062,139.493,136.405,137.154,78058611
2022-10-12,137.303,138.516,136.346,136.524,71370870
2022-10-13,133.217,141.703,132.605,141.112,114730429
2022-10-14,142.413,142.623,136.375,136.563,89776772
2022-10-17,139.214,141.023,138.431,140.54,86385209
2022-10-18,143.581,144.774,138.762,141.862,100455630
2022-10-19,139.83,143.044,139.642,141.972,62580039
2022-10-20,141.142,143.973,140.778,141.508,65380459
2022-10-21,140.993,145.907,140.777,145.335,87700145
2022-10-24,145.251,148.257,144.083,147.488,76992863
2022-10-25,148.119,150.487,147.399,150.339,75726609
2022-10-26,148.977,149.995,146.096,147.39,89612822
2022-10-27,146.125,147.088,142.238,142.901,110632800
2022-10-28,146.253,155.432,145.879,153.696,166954547
2022-10-31,151.144,152.215,149.925,151.326,99246312
2022-11-01,153.043,153.408,147.172,148.674,81448798
2022-11-02,146.988,150.172,143.095,143.125,94850040
2022-11-03,140.194,140.925,136.928,137.056,99221329
2022-11-04,140.457,141.03,132.836,136.79,142452041
2022-11-07,135.535,137.547,134.111,137.323,84344019
2022-11-08,138.795,139.805,135.909,137.895,90953837
2022-11-09,136.908,136.957,133.046,133.319,75788858
2022-11-10,139.616,145.182,137.895,145.182,120235936
2022-11-11,144.145,148.285,142.711,147.98,95072361
2022-11-14,147.259,148.554,145.736,146.577,74227230
2022-11-15,150.465,151.824,146.854,148.315,90913225
2022-11-16,147.416,148.147,145.597,147.079,64964928
2022-11-17,144.747,149.738,144.469,148.987,81324082
2022-11-18,150.553,150.945,148.246,149.551,75699612
2022-11-21,148.435,148.643,146.016,146.308,59406851
2022-11-22,146.428,148.693,145.236,148.454,52406455
2022-11-23,147.733,150.087,147.623,149.336,58979261
2022-11-25,146.601,147.169,145.429,146.408,35605080
2022-11-28,143.473,144.955,141.731,142.562,70152809
2022-11-29,142.632,143.144,138.74,139.547,84737719
2022-11-30,139.77,147.01,138.935,146.328,112675898
2022-12-01,146.508,147.416,144.925,146.606,72078840
2022-12-02,144.283,146.298,143.975,146.111,66208399
2022-12-05,146.071,149.186,144.095,144.945,69626682
2022-12-06,145.384,145.607,140.288,141.268,65479765
2022-12-07,140.556,141.721,138.393,139.319,70531737
2022-12-08,140.724,141.87,139.477,141.01,62850700
2022-12-09,140.706,143.897,139.28,140.526,76981786
2022-12-12,141.059,142.841,139.437,142.831,71281919
2022-12-13,147.783,148.246,142.582,143.797,94977769
2022-12-14,143.68,144.97,139.537,141.563,83247976
2022-12-15,139.487,140.169,134.462,134.93,100082182
2022-12-16,135.113,136.068,132.194,132.965,162019034
2022-12-19,133.557,133.647,129.81,130.848,80518032
2022-12-20,129.879,131.718,128.397,130.779,78333125
2022-12-21,131.451,135.237,131.225,133.895,86927072
2022-12-22,132.808,133.013,128.802,130.709,78757289
2022-12-23,129.414,130.893,128.15,130.345,64556865
2022-12-27,129.869,129.899,127.24,128.536,69810179
2022-12-28,128.18,129.522,124.423,124.591,86431778
2022-12-29,126.519,128.981,126.262,128.12,76583912
2022-12-30,126.933,128.457,125.967,128.437,77929881
2023-01-03,128.782,129.395,122.744,123.633,113421054
2023-01-04,125.431,127.177,123.642,124.907,90149751
2023-01-05,125.669,126.301,123.326,123.584,81904056
2023-01-06,124.562,128.792,123.455,128.13,88775033
2023-01-09,128.965,131.878,128.397,128.654,71613893
2023-01-10,128.762,129.754,126.649,129.228,64639071
2023-01-11,129.741,131.975,128.96,131.956,70266544
2023-01-12,132.34,132.716,129.929,131.878,72209574
2023-01-13,130.513,133.368,130.147,133.211,58481869
2023-01-17,133.279,135.713,132.589,134.378,64386642
2023-01-18,135.242,137.017,133.477,133.657,70482881
2023-01-19,132.539,134.684,132.233,133.716,58958035
2023-01-20,133.726,136.434,132.677,136.286,81156381
2023-01-23,136.533,141.667,136.315,139.487,82710935
2023-01-24,138.691,141.515,138.686,140.891,67207579
2023-01-25,139.27,140.792,137.214,140.229,66564394
2023-01-26,141.524,142.592,140.269,142.305,54734144
2023-01-27,141.51,145.538,141.437,144.254,71376191
2023-01-30,143.288,143.877,141.208,141.358,64759575
2023-01-31,141.059,142.681,140.646,142.632,66640377
2023-02-01,142.315,144.925,139.696,143.757,78566623
2023-02-02,147.189,149.443,146.468,149.086,119714900
2023-02-03,146.328,155.572,146.13,152.724,156152040
2023-02-06,150.822,151.34,149.046,149.987,70670544
